ProductID,ProductName,Description,Price,Type,StockQuantity,BusinessID
30,Gizmo GG,All-in-one gizmo with multiple functions.,54.99,Pet Supplies,250,B-030
31,Doohickey GG,Robust doohickey for rugged environments.,47.99,Office Supplies,90,B-031
32,Doohickey HH,Professional-grade doohickey for experts.,28.99,Stationery,120,B-032
33,Widget II,High-capacity widget for data storage.,49.99,Art Supplies,70,B-033
34,Widget JJ,Entry-level widget for beginners.,62.99,Crafts,400,B-034
35,Thingamajig HH,Compact thingamajig with a sleek design.,24.99,Automotive,250,B-035
36,Thingamajig II,Advanced thingamajig with cutting-edge features.,14.99,Outdoor Gear,150,B-036
37,Gizmo HH,Premium gizmo with a large display.,22.99,Healthcare,300,B-037
38,Gizmo II,Compact gizmo with extended battery life.,12.99,Beauty,200,B-038
39,Doohickey II,Professional doohickey with advanced connectivity.,36.99,Fitness,100,B-039
40,Doohickey JJ,Heavy-duty doohickey designed for industrial use.,49.99,Home Improvement,500,B-040
41,Widget KK,High-performance widget for demanding tasks.,57.99,Kitchenware,120,B-041
42,Widget LL,Versatile widget for various applications.,69.99,Cookware,80,B-042
43,Thingamajig JJ,Premium thingamajig with exceptional performance.,17.99,Home Appliances,180,B-043
44,Thingamajig KK,Entry-level thingamajig for basic tasks.,27.99,Gardening,300,B-044
45,Gizmo JJ,Sleek gizmo with a modern design.,22.99,Toiletries,150,B-045
46,Gizmo KK,Compact gizmo with a lightweight build.,12.99,Cleaning Supplies,250,B-046
47,Doohickey KK,Multi-function doohickey with user-friendly controls.,44.99,Electricals,90,B-047
48,Doohickey LL,Professional doohickey with robust construction.,18.99,Luggage,120,B-048
49,Widget MM,All-in-one widget with a variety of features.,14.99,Bags,70,B-049
50,Widget NN,Compact widget with a durable build.,24.99,Backpacks,110,B-050
51,Thingamajig LL,Advanced thingamajig designed for professionals.,9.99,Shoes,400,B-051
52,Thingamajig MM,Compact and efficient gizmo for everyday use.,39.99,Handbags,150,B-052
53,Gizmo LL,High-quality widget for multiple applications.,49.99,Watches,280,B-053
54,Gizmo MM,Entry-level doohickey for novice users.,59.99,Sunglasses,320,B-054
55,Doohickey MM,Premium gizmo with advanced technology.,19.99,Wristbands,80,B-055
56,Doohickey NN,Durable gizmo built to withstand tough conditions.,16.99,Necklaces,120,B-056
57,Widget OO,Industrial-grade widget for heavy-duty work.,54.99,Earrings,70,B-057
58,Widget PP,Compact thingamajig with sleek aesthetics.,29.99,Bracelets,110,B-058
59,Thingamajig NN,Advanced doohickey with cutting-edge features.,49.99,Rings,300,B-059
60,Thingamajig OO,Efficient widget for various tasks.,62.99,Makeup,150,B-060
61,Gizmo NN,Robust thingamajig with exceptional performance.,59.99,Skincare,180,B-061
62,Gizmo OO,Compact and lightweight gizmo for easy handling.,69.99,Haircare,300,B-062
63,Doohickey OO,Premium doohickey with a touchscreen interface.,24.99,Perfume,150,B-063
64,Doohickey PP,Stylish gizmo with a sleek and modern design.,14.99,Cologne,250,B-064
65,Widget QQ,Heavy-duty widget for industrial applications.,64.99,Snacks,90,B-065
66,Widget RR,Professional-grade widget with advanced capabilities.,21.99,Bakery,120,B-066
67,Thingamajig PP,Energy-efficient gizmo with a small ecological footprint.,36.99,Fruits,70,B-067
68,Thingamajig QQ,High-speed gizmo for time-critical applications.,49.99,Vegetables,400,B-068
69,Gizmo PP,User-friendly doohickey with intuitive controls.,57.99,Meat,250,B-069
70,Gizmo QQ,Compact and versatile thingamajig for daily use.,69.99,Seafood,150,B-070
71,Doohickey QQ,Compact widget with exceptional portability.,19.99,Dairy,300,B-071
72,Doohickey RR,All-purpose widget for various tasks.,29.99,Beverages,200,B-072
73,Widget SS,Advanced gizmo with superior performance.,49.99,Cereals,100,B-073
74,Widget TT,Sleek gizmo with a stylish design and user-friendly features.,18.99,Cookbooks,500,B-074
75,Thingamajig RR,High-performance widget for professional users.,28.99,Fiction,120,B-075
76,Thingamajig SS,Durable widget built to last in demanding environments.,49.99,Non-Fiction,80,B-076
77,Gizmo RR,Economical gizmo for budget-conscious consumers.,54.99,Mystery,180,B-077
78,Gizmo SS,Industrial-grade gizmo for demanding workloads.,49.99,Science Fiction,300,B-078
79,Doohickey SS,Compact and efficient thingamajig for various applications.,62.99,Romance,150,B-079
80,Doohickey TT,Advanced thingamajig with cutting-edge technology.,19.99,Fantasy,250,B-080
81,Widget UU,Premium doohickey with advanced capabilities.,54.99,Biography,90,B-081
82,Widget VV,Versatile widget suitable for industrial applications.,49.99,History,120,B-082
83,Thingamajig TT,Compact widget designed for home and office use.,59.99,Science,70,B-083
84,Thingamajig UU,Top-of-the-line thingamajig with exceptional features.,17.99,Children's Books,110,B-084
85,Gizmo TT,All-purpose thingamajig with a sleek design and user-friendly features.,27.99,Comics,400,B-085
86,Gizmo UU,Advanced gizmo with superior performance and capabilities.,22.99,Classical,150,B-086
87,Doohickey UU,Sleek gizmo with a stylish design and user-friendly controls.,64.99,Rock,280,B-087
88,Doohickey VV,High-performance doohickey for professional applications.,33.99,Pop,320,B-088
89,Widget WW,Durable doohickey built to withstand challenging conditions.,42.99,Hip-Hop,80,B-089
90,Widget XX,Economical widget for cost-conscious consumers.,69.99,Jazz,120,B-090
91,Thingamajig VV,Industrial-grade widget for demanding tasks.,24.99,Country,70,B-091
92,Thingamajig WW,Compact and portable thingamajig for easy handling.,12.99,Blues,110,B-092
93,Gizmo VV,Efficient thingamajig for everyday use.,38.99,Electronic,300,B-093
94,Gizmo WW,Premium gizmo with a touchscreen interface and advanced technology.,33.99,Action,150,B-094
95,Doohickey WW,Stylish gizmo with a variety of color options to choose from.,42.99,Comedy,180,B-095
96,Doohickey XX,Heavy-duty doohickey for industrial applications.,69.99,Drama,300,B-096
97,Widget YY,Professional-grade doohickey with advanced features and capabilities.,24.99,Horror,150,B-097
98,Widget ZZ,High-capacity widget for data storage needs.,12.99,Science Fiction,250,B-098
99,Thingamajig YY,Entry-level widget for beginners and basic tasks.,24.99,Romantic,90,B-099
100,Thingamajig ZZ,Compact thingamajig with a modern and sleek design.,12.99,Adventure,120,B-100
